"movie_name" "image_name" "watson_object_1" "watson_object_2" "watson_object_3" "watson_face" "microsoft_emotion_1" "microsoft_emotion_2" "microsoft_emotion_3" "genre"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-65-seconds.jpeg" "coal black color" "black color" "sport" 1 "happiness" "surprise" "neutral" "Nope"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-135-seconds.jpeg" "blue color" "steel blue color" "comet" 1 "happiness" "surprise" "neutral" "Nope"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-100-seconds.jpeg" "black color" "coal black color" "person" 1 "happiness" "surprise" "neutral" "Crime"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-140-seconds.jpeg" "coal black color" "black color" "person" 1 "happiness" "surprise" "neutral" "Nope"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-35-seconds.jpeg" "black color" "shop" "shoe shop" 1 "happiness" "surprise" "neutral" "Drama"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-110-seconds.jpeg" "box" "coffin" "space capsule" 1 "happiness" "surprise" "neutral" "Family"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-75-seconds.jpeg" "purplish blue color" "person" "anchorperson" 1 "happiness" "surprise" "neutral"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-115-seconds.jpeg" "bottle green color" "garment" "burqa" 1 "happiness" "surprise" "neutral" "Nope"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-30-seconds.jpeg" "black color" "device" "gallows" 1 "happiness" "surprise" "neutral" "Drama"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-85-seconds.jpeg" "person" "coal black color" "reddish brown color" 1 "happiness" "surprise" "neutral" "Drama"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-25-seconds.jpeg" "black color" "coal black color" "sounding board" 1 "happiness" "surprise" "neutral" "Thriller"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-15-seconds.jpeg" "coal black color" "black color" "person" 1 "neutral" "sadness" "surprise" "Drama"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-70-seconds.jpeg" "city" "indigo color" "azure color" 1 "neutral" "sadness" "surprise" "Drama"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-90-seconds.jpeg" "device" "coal black color" "purplish blue color" 1 "neutral" "sadness" "surprise" "Nope"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-5-seconds.jpeg" "coal black color" "black color" "coal miner" 1 "neutral" "sadness" "surprise" "Nope"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-20-seconds.jpeg" "black color" "light brown color" "room" 1 "neutral" "sadness" "surprise" "Nope"
"nowyouseeme2-2016" "nowyouseeme2-2016-thumbnail-at-55-seconds.jpeg" "coal black color" "device" "mirror" 1 "surprise" "fear" "happiness" "Adventure"
